# as_of_year	respondent_id	agency_name	agency_abbr	agency_code	loan_type_name	loan_type	property_type_name	property_type	loan_purpose_name	loan_purpose	owner_occupancy_name	owner_occupancy	loan_amount_000s	preapproval_name	preapproval	action_taken_name	action_taken	msamd_name	msamd	state_name	state_abbr	state_code	county_name	county_code	census_tract_number	applicant_ethnicity_name	applicant_ethnicity	co_applicant_ethnicity_name	co_applicant_ethnicity	applicant_race_name_1	applicant_race_1	applicant_race_name_2	applicant_race_2	applicant_race_name_3	applicant_race_3	applicant_race_name_4	applicant_race_4	applicant_race_name_5	applicant_race_5	co_applicant_race_name_1	co_applicant_race_1	co_applicant_race_name_2	co_applicant_race_2	co_applicant_race_name_3	co_applicant_race_3	co_applicant_race_name_4	co_applicant_race_4	co_applicant_race_name_5	co_applicant_race_5	applicant_sex_name	applicant_sex	co_applicant_sex_name	co_applicant_sex	applicant_income_000s	purchaser_type_name	purchaser_type	denial_reason_name_1	denial_reason_1	denial_reason_name_2	denial_reason_2	denial_reason_name_3	denial_reason_3	rate_spread	hoepa_status_name	hoepa_status	lien_status_name	lien_status	edit_status_name	edit_status	sequence_number	population	minority_population	hud_median_family_income	tract_to_msamd_income	number_of_owner_occupied_units	number_of_1_to_4_family_units	application_date_indicator	redlining_score
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	65	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0008.00	Hispanic or Latino	1	No co-applicant	5	White	5									No co-applicant	8									Male	1	No co-applicant	5	12	Freddie Mac (FHLMC)	3								Not a HOEPA loan	2	Secured by a first lien	1				3180	70.97000122070312	50500	55.09000015258789	440	1152		0.5015349741474591
2017	0000617677	Consumer Financial Protection Bureau	CFPB	9	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	65	Preapproval was requested	1	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0023.00	Not Hispanic or Latino	2	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	14	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3342	64.2699966430664	50500	64.52999877929688	727	1382		0.35456869388578655
2017	73-1577221	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	238	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.06	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	59	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				4392	21.6299991607666	50500	161.64999389648438	1492	1536		0.0
2017	75-2857425	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	180	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.14	Not Hispanic or Latino	2	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	60	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3424	41.119998931884766	50500	144.85000610351562	816	1171		0.0
2017	42-1739728	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	71	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0026.00	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	47	Freddie Mac (FHLMC)	3								Not a HOEPA loan	2	Secured by a first lien	1				3751	66.16999816894531	50500	46.04999923706055	454	1079		0.7501743117351571
2017	0000266271	Consumer Financial Protection Bureau	CFPB	9	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	173	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0031.05	Not Hispanic or Latino	2	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	85	Life insurance company, credit union, mortgage bank, or finance company	7								Not a HOEPA loan	2	Secured by a first lien	1				3316	26.239999771118164	50500	129.60000610351562	1020	1199		0.0
2017	84-1564935	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	83	Preapproval was requested	1	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0024.00	Not Hispanic or Latino	2	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	31	Ginnie Mae (GNMA)	2							02.74	Not a HOEPA loan	2	Secured by a first lien	1				1804	65.41000366210938	50500	82.98999786376953	442	874		0.5101115161488394
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	76	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.04	Not Hispanic or Latino	2	No co-applicant	5	White	5									No co-applicant	8									Male	1	No co-applicant	5	41	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				4389	10.90999984741211	50500	126.2300033569336	1451	2225		0.0
2017	22-3039688	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	172	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0032.00	Not Hispanic or Latino	2	Not Hispanic or Latino	2	White	5									White	5									Male	1	Female	2		Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				3426	33.15999984741211	50500	100.69999694824219	1116	1488		0.0
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	208	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Not Hispanic or Latino	2	Not Hispanic or Latino	2	White	5									White	5									Male	1	Female	2	73	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
